komentar
Melihat banyak Nakes yang menangani wabah campak, ada baiknya pertimbangkan booster Vaksin Campak terutama yang mungkin riwayat vaksinasinya ga jelas atau ga diketahui saat kecil.
BPOM resmi beri izin vaksin campak untuk orang dewasa.
Mau ngasih tau ke yang belum terpapar antivak nya si bude wellness kalau vaksin tuh untuk mengurangi penyebaran penyakit. Ih udah vaksin campak tapi tetep kena campak! tapi ga sampe meninggal kan? Banyak yang meninggal saat terpapar hanya karena belum vaksin btw aku bukan nakes
Waktu kecil udah pernah di vaksin campak tapi pas malam langsung demam
Tingginya kasus campak, membuat banyak yg tanya "Apakah vaksin campak bisa diberikan lebih cepat sebelum USIA 9 bulan?" Saya akan coba jawab dari beberapa paper dan publikasi yang ada. Mari kita mulai. Sebelumnya mari kita bahas dulu, mengapa di Indonesia jadwal vaksin campak diberikan di usia 9 bulan. Bayi usia < 9 bulan, biasanya masih memiliki antibodi dari ibu yang dapat menetralisir vaksin, sehingga respon imun tubuh bayi terhadap vaksin menjadi tidak optimal.
yap! tahun udah makin modern, tp masih banyak aja ortu nyawit yang gk percaya sama vaksin campak dan gamau anaknya divaksin campak
ANAK AKU GA VAKSIN CAMPAK SEHAT SEHAT AJA TUH
Vaksin campak yang ujicoba dan keberhasilannya PULUHAN TAHUN ga dipercaya. Gausah diterima di rumah sakit tau rasa entar.
HAH terus dulu dia ngurus ebra gimana???? EBRA APA GAK VAKSIN CAMPAK????? demi Allah bego nya jadi orang tua ruce..
Vaksin Campak tersedia di imuni.
Haruskah gw ambil vaksin campak sebelum balik ke Jkt? Ngeri bener dah udh KLB lagi 🥶🥶
Jangan bilang ini stock vaksin campak menipis karena dananya buat MBG?
Maaf oot tapi jujur penasaran ini orang dewasa perlu vaksin campak lagi gasi?
Inilah pentingnya vaksin campak agar tidak dicampakkan (diisolasi)
Jd kepikiran anaknya kira kira vaksin campak ga ya, karena kalo orang tua pasti tau dampak dr campak itu apa aja
Katanya yg terjangkit campak semakin meningkat di Indonesia.. padahal udah dari dulu vaksin campak sudah ada, tapi sekarang ibu-ibu jaman sekarang dengan PD tidak ikut imunisasi anak, katanya sehat itu dari tuhan, gak perlu vaksin anak sehat² ajak kok
Anak gua baru vaksin campak di usia 14 bulan, ga tepat waktu memang, tp gua berterima kasih sama bidannya, karena ga ada pertanyaan "ko baru vaksin campak usia segini" tp mereka semangatin gua "lebih baik telat dr pd tidak sama sekali, ibu ga salah" gua merasa lega
Berarti ortu yg menolak anaknya di vaksin campak dapat merugikan bayak org.
Udah vaksin campak dari kecil tapi pas dewasa ternyata aku masih dicampakkan. (???)
Fix gwe kalo balik indo vaksin campak dan siap siap antibiotik Setiap balik indo pasti pencernaan terganggu abis tu demam 😭gwe sudah tau penyebabnya tapi kenapa gwe kena gwe lahir dan besar di indo apalagi di tambah campak makin parah katanya
Kaget sih banyak ibu muda yang ternyata ga ngasih vaksin campak ke anaknya 🙃padahal akses informasi kesehatan udah gampang banget, tapi kenapa malah kaya sengaja abai gitu, kan kasihan anaknya, belum lagi kalau anaknya tetep beraktivitas pas lagi campak, kasihan lagi anak lain yang ketularan 🙃
Bismillah aman, aku sama anak udah vaksin campak 2 kali semoga ga ketularan 😭lagi pada sibuk beli vitamin, sehat sehat ya kita. mau lebaran malah disini banyak yg sakit
Bener2 worries tante nita bilang takut kena campak karna lg musim na, mana iya lg anaku belum boleh vaksin campak nunggu 9 bulan😭😭 binun jd better pulangna nga bener 1 april ya hahaha
Dinkes Palembang Siapkan Vaksin Campak Tambahan Jelang Lebaran 2026
Vaksin campak harus ada inovasi yg baru sih ini krn vaksin yg lama kyk udh ga sanggup melawan virus campak yg baru (versi makin kuat)
Sebenernya yang ditakutin dari vaksin itu apanya? Kalo kaya kasus c19 okelah ya banyak skeptisnya, ini vaksin campak udah bukan setahun dua tahun risetnya. Tapi ya udah sih kalo memang tetap gamau vaksin pastikan anaknya jangan sampe sakit lingkungan rumah juga steril penyakit.
Cegah Komplikasi, Kemenkes Ingatkan Pentingnya Vaksin Campak pada Anak
Padahal vaksin campak ga ada demam ya dok. Alhamdulillah anak2 saya vaksin yg wajibnya lengkap, walaupun tiap vaksin saya ketar ketir karna memang saya parnoan, tapi tetap semangat💪 Semoga selanjutnya ada rezeki buat vaksin influenza dan DBD🤲
Di posyandu daerah cikampek klo mau vaksin campak harus cari temannya minimal 3, tp alhamdulillah antusias ibunya tinggi di sini jd kader yg puyeng cari temen vaksinnya 🤭
Jadi inget pas vaksin campak pas anakku usia TK karena terjadi peningkatan anak2 sakit. Banyak orang tua yg nolak. Dikejar satu2 donk sama pihak puskesmas. Akhirnya 1 sekolah yg gk berhasil di vaksin 1 aja.
Ada yg bisa jelaskan kasus 2 orang DOKTER yg meninggal krn terinfeksi CAMPAK.... apakah dokter tersebut jg kaum anti vaksin campak atau gmn..... kan lucu ada NAKES meninggal krn penyakit yg selalu dia elu2kan,, katanya begini katanya begitu
Campak tidak membunuh & bisa sembuh sendiri maksimal 10 hari dgn menaikkan kekebalan alami tubuh. Virus tetap dikenali & menghasilkan antibody yg lebih tinggi dibandingkan vaksin campak.
Kmaren ponakan kena campak Gak di vaksin campak. Sembuh sendiri Hanya di beri bbrp jenis rempah & makanan yg bergizi tinggi
Vaksin campak katanya sudah dari dulu ada,tapi kok bisa KLB?apakah vaksinnya gagal?atau salah diagnosa?. Jangan dulu menuding yg tidak vaksin campak sebagai penyebabnya. Bisa jadi yg tidak vaksin campak adalah penyintas campak dan faham ilmu imunologi.
Saya pernah di serang penyakit campak , dan itu terjadi pas saya masih kecil, Alhamdulillah sampai usia 31 tahun ini saya tidak punya efek samping apa apa dari campak tersebut . Dok ,kalo setiap tubuh manusia ketika di beri vaksin campak punya reaksi yang berbeda ,lantas kenapa vaksin di wajibkan untuk semua orang ?
Tahun kemarin (2025), anak saya yg berusia 3 tahun terkena campak di sekujur tubuh, dari kepala hingga kaki, demam 39,5 derajat, dan nafasnya cepat dan pendek, tapi dengan izin Allah Ta'ala, anak saya sembuh di hari ke-3 setelah bangun tidur pagi. Anak saya gak pernah vaksin, gak konsumsi obat kimia sintetis, dan gak konsumsi UPF. Sebenernya tubuh kita memiliki sistem recovery yg luar biasa, ASAL gak banyak sampahnya (obat kimia & UPF). Penyakit sepele yg berdampak luar biasa di tubuh itu bukan karna gak vaksin campak, tapi karna kebanyakan sampah yg dikonsumsi.
Maaf pengobatan campak tidak harus di vaksin campak pak dokter, saya cara tradisional saja sembuh itu untuk semua anak. Hanya saja baik ilmu kedokteran maupun tradisional waktu sembuh itu kurang lebih 2 Minggu, org vaksin campak juga pasti kena campak, air kelapa itu bisa diminum dan juga dimandikan ke anak yg kena campak, kemudian jgn lupa minum air badak, kompres demam dan perbanyak minum air putih dan makan buah2 an..,buah pear dan jeruk sangat bagus...maaf bukan sok tau,,,ini pengalaman saya terhadap anak dan ponakan.... 🙏🏻🙏🏻🙏🏻 Dan juga perlunya jaga kebersihan dan kesehatan...
Saya dulu antivaks, ikut2an orang, kayanya udah paling bener kalo anak ga divaksin, qodarulloh anak pertama tidak vaksin campak dan lain2 sama sekali,pas terkena campak lumayan parah, sampai opname hampir sepekan, setelah itu asatidzah mulai Mengkaji hukum vaksin lalu menjelaskan vaksin merupakan salah satu ikhtiar pencegahan preventiv, Alhamdulillah anak kedua vaksin lengkap anjuran pemerintah, terkena campak tidak parah dan bisa perawatan d rumah..
Siapa yg bisa jamin yg lengkap vaksinnya ngga kena campak? Anak2 saya wkt kecil lengkap terutama vaksin campak tetap kena campak. Plis jangan berlindung dr kegagalan penanganan kasus campak dg gerakan antivaksin.
Penyakit campak bukan merupakan penyakit dengan angka morbiditas dan mortalitas tertinggi. Penanganan penyakit campak saat ini umumnya sudah tepat bahkan campak sendiri sudah sempat di eradikasi. Cara penanganan yang tepat dan pengobatan yang tepat tidak akan membuat campak menjadi sebuah hal yang menakutkan dan mengancam jiwa. Salah satu hal yang paling penting ada lah pencegahan. Jangan lupa bawa anak untuk vaksin campak. Semoga membantu
Jangan tunggu sampai terlambat 💔. Vaksin campak itu perlindungan nyata aman, darurat, dan menyelamatkan. Bukan hanya untuk anak kita, tapi juga untuk anak-anak lain di sekitar. Karena setiap nyawa terlalu berharga untuk dipertaruhkan
